YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,KS,bnhnut,Brown-headed Nuthatch,0,1.0,1.0,1
2000,US,KS,bkcchi,Black-capped Chickadee,0,762.0,2.2280701754385963,66
2000,US,MI,bkcchi,Black-capped Chickadee,0,8306.0,3.905030559473437,360
2000,US,MI,bnhnut,Brown-headed Nuthatch,0,20.0,4.0,5
2000,US,MI,borchi2,Boreal Chickadee,0,141.0,10.071428571428571,11
2000,US,MI,brncre,Brown Creeper,0,127.0,1.1043478260869566,48
2000,US,MI,carchi,Carolina Chickadee,0,7.0,2.3333333333333335,3
2000,US,MI,carwre,Carolina Wren,0,115.0,1.2777777777777777,37
2000,US,MI,dowwoo,Downy Woodpecker,0,3562.0,1.8816693079767566,347
2000,US,IL,eursta,European Starling,1,11839.0,8.87481259370315,265
2000,US,MI,easblu,Eastern Bluebird,0,310.0,4.920634920634921,33
2000,US,MI,haiwoo,Hairy Woodpecker,0,1224.0,1.411764705882353,197
2000,US,MI,houfin,House Finch,0,13735.0,8.557632398753894,297
2000,US,MI,houspa,House Sparrow,1,23321.0,17.994598765432098,236
2000,US,MI,labwoo,Ladder-backed Woodpecker,0,2.0,1.0,1
2000,US,MI,norfli,Northern Flicker,0,179.0,1.185430463576159,67
2000,US,MI,rebwoo,Red-bellied Woodpecker,0,1249.0,1.1986564299424185,229
2000,US,MI,rehwoo,Red-headed Woodpecker,0,14.0,1.4,9
2000,US,MI,tuftit,Tufted Titmouse,0,3134.0,2.2825928623452296,272
2000,US,MI,whbnut,White-breasted Nuthatch,0,2527.0,1.636658031088083,301
2000,US,MI,y00033,Carolina/Black-capped Chickadee,0,14.0,2.8,2
2000,US,MI,eursta,European Starling,1,7092.0,8.831880448318804,216
2000,US,TN,dowwoo,Downy Woodpecker,0,762.0,1.351063829787234,114
2000,US,IL,eutspa,Eurasian Tree Sparrow,1,156.0,9.75,6
2000,US,IL,houfin,House Finch,0,14814.0,8.28523489932886,295
2000,US,KY,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,KY,y00033,Carolina/Black-capped Chickadee,0,202.0,3.4237288135593222,15
2000,US,KY,yebsap,Yellow-bellied Sapsucker,0,14.0,1.1666666666666667,5
2000,US,MA,yebsap,Yellow-bellied Sapsucker,0,7.0,1.1666666666666667,5
2000,US,MA,y00033,Carolina/Black-capped Chickadee,0,38.0,2.375,6
2000,US,MA,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,MA,whbnut,White-breasted Nuthatch,0,2730.0,1.5520181921546332,328
2000,US,MA,tuftit,Tufted Titmouse,0,5442.0,2.6533398342272063,340
2000,US,MA,rehwoo,Red-headed Woodpecker,0,9.0,3.0,3
2000,US,MA,rebwoo,Red-bellied Woodpecker,0,484.0,1.1891891891891893,132
2000,US,MA,norfli,Northern Flicker,0,201.0,1.2331288343558282,80
2000,US,MA,houspa,House Sparrow,1,13919.0,12.711415525114155,219
2000,US,MA,houfin,House Finch,0,5434.0,4.41429731925264,274
2000,US,MA,haiwoo,Hairy Woodpecker,0,812.0,1.2453987730061349,159
