YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,TX,easblu,Eastern Bluebird,0,286.0,2.7766990291262137,34
2000,US,MO,rebwoo,Red-bellied Woodpecker,0,956.0,1.3060109289617485,156
2000,US,MO,rehwoo,Red-headed Woodpecker,0,29.0,1.45,15
2000,US,MO,tuftit,Tufted Titmouse,0,2229.0,2.3438485804416405,179
2000,US,MO,whbnut,White-breasted Nuthatch,0,935.0,1.5153970826580228,135
2000,US,MO,winwre3,Winter Wren,0,2.0,1.0,2
2000,US,MO,y00033,Carolina/Black-capped Chickadee,0,848.0,2.3954802259887007,76
2000,US,MO,yebsap,Yellow-bellied Sapsucker,0,55.0,1.0377358490566038,28
2000,US,MO,yesfli,Northern Flicker (Yellow-shafted),0,3.0,1.0,2
2000,US,NH,y00033,Carolina/Black-capped Chickadee,0,92.0,13.142857142857142,2
2000,CA,NB,eursta,European Starling,1,1388.0,11.566666666666666,30
2000,US,NH,whbnut,White-breasted Nuthatch,0,1211.0,1.5605670103092784,135
2000,US,NH,tuftit,Tufted Titmouse,0,1513.0,2.2717717717717716,123
